date,lewis_word_count,season
1806-01-15,833,winter
1806-01-16,492,winter
1806-01-17,731,winter
1806-01-18,697,winter
1806-01-19,452,winter
1806-01-20,252,winter
1806-01-21,301,winter
1806-01-22,499,winter
1806-01-23,396,winter
1806-01-24,589,winter
1806-01-25,315,winter
1806-01-26,460,winter
1806-01-27,574,winter
1806-01-28,468,winter
1806-01-29,620,winter
1806-01-30,354,winter
1806-01-31,803,winter
1806-02-01,1291,winter
1806-02-02,434,winter
1806-02-03,302,winter
1806-02-04,461,winter
1806-02-05,509,winter
1806-02-06,755,winter
1806-02-07,458,winter
1806-02-08,560,winter
1806-02-09,329,winter
1806-02-10,439,winter
1806-02-11,371,winter
1806-02-12,394,winter
1806-02-13,923,winter
1806-02-14,677,winter
1806-02-15,1051,winter
1806-02-16,467,winter
1806-02-17,922,winter
1806-02-18,524,winter
1806-02-19,391,winter
1806-02-20,594,winter
1806-02-21,767,winter
1806-02-22,729,winter
1806-02-23,694,winter
1806-02-24,649,winter
1806-02-25,774,winter
1806-02-26,1152,winter
1806-02-27,350,winter
1806-02-28,827,winter
1806-03-01,571,spring
1806-03-02,556,spring
1806-03-03,897,spring
1806-03-04,664,spring
1806-03-05,381,spring
1806-03-06,243,spring
1806-03-07,714,spring
1806-03-08,803,spring
1806-03-09,577,spring
1806-03-10,838,spring
1806-03-11,617,spring
1806-03-12,583,spring
1806-03-13,771,spring
1806-03-14,583,spring
1806-03-15,589,spring
1806-03-16,606,spring
1806-03-17,684,spring
1806-03-18,573,spring
1806-03-19,1829,spring
1806-03-20,376,spring
1806-03-21,176,spring
1806-03-22,168,spring
1806-03-23,237,spring
1806-03-24,406,spring
1806-03-25,532,spring
1806-03-26,494,spring
1806-03-27,759,spring
1806-03-28,953,spring
1806-03-29,1234,spring
1806-03-30,961,spring
1806-03-31,875,spring
1806-04-01,1172,spring
1806-04-02,913,spring
1806-04-03,341,spring
1806-04-04,348,spring
1806-04-05,532,spring
1806-04-06,3495,spring
1806-04-07,820,spring
1806-04-08,452,spring
1806-04-09,1046,spring
1806-04-10,600,spring
1806-04-11,1828,spring
1806-04-12,643,spring
1806-04-13,645,spring
1806-04-14,855,spring
1806-04-15,522,spring
1806-04-16,702,spring
1806-04-17,695,spring
1806-04-18,365,spring
1806-04-19,483,spring
1806-04-20,659,spring
1806-04-21,696,spring
1806-04-22,849,spring
1806-04-23,655,spring
1806-04-24,459,spring
1806-04-25,709,spring
1806-04-26,382,spring
1806-04-27,671,spring
1806-04-28,709,spring
1806-04-29,946,spring
1806-04-30,694,spring
1806-05-01,608,spring
1806-05-02,544,spring
1806-05-03,540,spring
1806-05-04,700,spring
1806-05-05,1024,spring
1806-05-06,723,spring
1806-05-07,851,spring
1806-05-08,1858,spring
1806-05-09,901,spring
1806-05-10,980,spring
1806-05-11,731,spring
1806-05-12,1469,spring
1806-05-13,815,spring
1806-05-14,1012,spring
1806-05-15,978,spring
1806-05-16,494,spring
1806-05-17,515,spring
1806-05-18,509,spring
1806-05-19,345,spring
1806-05-20,298,spring
1806-05-21,462,spring
1806-05-22,835,spring
1806-05-23,379,spring
1806-05-24,737,spring
1806-05-25,431,spring
1806-05-26,368,spring
1806-05-27,1453,spring
1806-05-28,949,spring
1806-05-29,648,spring
1806-05-30,911,spring
1806-05-31,615,spring
1806-06-01,869,summer
1806-06-02,1099,summer
1806-06-03,384,summer
1806-06-04,281,summer
1806-06-05,523,summer
1806-06-06,785,summer
1806-06-07,428,summer
1806-06-08,419,summer
1806-06-09,397,summer
1806-06-10,587,summer
1806-06-11,1707,summer
1806-06-12,191,summer
1806-06-13,209,summer
1806-06-14,213,summer
1806-06-15,328,summer
1806-06-16,622,summer
1806-06-17,668,summer
1806-06-18,504,summer
1806-06-19,337,summer
1806-06-20,955,summer
1806-06-21,412,summer
1806-06-22,145,summer
1806-06-23,303,summer
1806-06-24,190,summer
1806-06-25,358,summer
1806-06-26,569,summer
1806-06-27,620,summer
1806-06-28,435,summer
1806-06-29,742,summer
1806-06-30,1016,summer
1806-07-01,1300,summer
1806-07-02,427,summer
1806-07-03,234,summer
1806-07-04,237,summer
1806-07-05,435,summer
1806-07-06,450,summer
1806-07-07,366,summer
1806-07-08,419,summer
1806-07-09,165,summer
1806-07-10,450,summer
1806-07-11,483,summer
1806-07-12,257,summer
1806-07-13,178,summer
1806-07-14,207,summer
1806-07-15,40,summer
1806-07-16,523,summer
1806-07-17,811,summer
1806-07-18,448,summer
1806-07-19,469,summer
1806-07-20,603,summer
1806-07-21,424,summer
1806-07-22,709,summer
1806-07-23,380,summer
1806-07-24,195,summer
1806-07-25,330,summer
1806-07-26,2180,summer
1806-07-27,1503,summer
1806-07-28,850,summer
1806-07-29,414,summer
1806-07-30,191,summer
1806-07-31,219,summer
1806-08-01,497,summer
1806-08-02,133,summer
1806-08-03,243,summer
1806-08-04,423,summer
1806-08-05,232,summer
1806-08-06,259,summer
1806-08-07,721,summer
1806-08-08,362,summer
1806-08-09,173,summer
1806-08-10,139,summer
1806-08-11,1225,summer
1806-08-12,648,summer
1806-08-13,0,summer
1806-08-14,0,summer
1806-08-15,0,summer
1806-08-16,0,summer
1806-08-17,0,summer
1806-08-18,0,summer
1806-08-19,0,summer
1806-08-20,0,summer
1806-08-21,0,summer
1806-08-22,0,summer
1806-08-23,0,summer
1806-08-24,0,summer
1806-08-25,0,summer
1806-08-26,0,summer
1806-08-27,0,summer
1806-08-28,0,summer
1806-08-29,0,summer
1806-08-30,0,summer
1806-08-31,0,summer
1806-09-01,0,fall
1806-09-02,0,fall
1806-09-03,0,fall
1806-09-04,0,fall
1806-09-05,0,fall
1806-09-06,0,fall
1806-09-07,0,fall
1806-09-08,0,fall
1806-09-09,0,fall
1806-09-10,0,fall
1806-09-11,0,fall
1806-09-12,0,fall
1806-09-13,0,fall
1806-09-14,0,fall
1806-09-15,0,fall
1806-09-16,0,fall
1806-09-17,0,fall
1806-09-18,0,fall
1806-09-19,0,fall
1806-09-20,0,fall
1806-09-21,0,fall
1806-09-22,0,fall
1806-09-23,0,fall
1806-09-24,0,fall
1806-09-25,0,fall
1806-09-26,0,fall
